user_id,track_id,timestamp,play_count,time_of_day,user_mood
user_6,track_14,2024-07-07 10:51:13.027715,7,10:51,Romantic
user_9,track_3,2024-02-11 10:51:13.027715,5,10:51,Melancholic
user_39,track_88,2024-12-02 10:51:13.027715,7,10:51,Romantic
user_31,track_80,2024-02-02 10:51:13.027715,1,10:51,Dark
user_32,track_58,2024-12-23 10:51:13.027715,1,10:51,Energetic
user_41,track_55,2024-08-13 10:51:13.027715,9,10:51,Romantic
user_50,track_4,2024-05-05 10:51:13.027715,5,10:51,Dark
user_12,track_24,2024-12-12 10:51:13.027715,5,10:51,Happy
user_8,track_34,2024-01-13 10:51:13.027715,3,10:51,Dark
user_8,track_30,2024-11-08 10:51:13.027715,5,10:51,Calm
user_50,track_82,2024-11-20 10:51:13.027715,3,10:51,Romantic
user_28,track_19,2024-10-07 10:51:13.027715,9,10:51,Dark
user_20,track_31,2024-05-20 10:51:13.027715,9,10:51,Melancholic
user_47,track_60,2024-02-27 10:51:13.027715,6,10:51,Happy
user_7,track_60,2024-10-12 10:51:13.027715,1,10:51,Romantic
user_11,track_19,2024-03-17 10:51:13.027715,7,10:51,Calm
user_20,track_49,2024-04-19 10:51:13.027715,7,10:51,Dark
user_16,track_63,2024-11-07 10:51:13.027715,10,10:51,Happy
user_4,track_83,2024-08-25 10:51:13.027715,10,10:51,Romantic
user_6,track_22,2024-05-24 10:51:13.027715,4,10:51,Happy
user_22,track_24,2024-04-29 10:51:13.027715,8,10:51,Calm
user_26,track_76,2024-10-29 10:51:13.027715,6,10:51,Dark
user_3,track_30,2024-01-09 10:51:13.027715,4,10:51,Happy
user_41,track_58,2024-09-08 10:51:13.027715,4,10:51,Happy
user_42,track_31,2024-02-09 10:51:13.027715,2,10:51,Energetic
user_14,track_100,2024-11-06 10:51:13.027715,2,10:51,Happy
user_11,track_64,2024-10-24 10:51:13.027715,4,10:51,Energetic
user_18,track_19,2024-01-22 10:51:13.027715,5,10:51,Dark
user_12,track_48,2024-11-28 10:51:13.027715,8,10:51,Romantic
user_23,track_45,2024-03-07 10:51:13.027715,6,10:51,Romantic
user_12,track_100,2024-04-11 10:51:13.027715,4,10:51,Dark
user_13,track_94,2024-12-16 10:51:13.027715,7,10:51,Dark
user_25,track_55,2024-09-02 10:51:13.027715,8,10:51,Melancholic
user_45,track_55,2024-01-04 10:51:13.027715,2,10:51,Dark
user_19,track_97,2024-04-15 10:51:13.027715,7,10:51,Happy
user_46,track_18,2024-06-27 10:51:13.027715,2,10:51,Romantic
user_36,track_63,2024-05-31 10:51:13.027715,2,10:51,Calm
user_45,track_92,2024-02-25 10:51:13.027715,8,10:51,Romantic
user_8,track_47,2024-08-19 10:51:13.027715,2,10:51,Energetic
user_29,track_75,2024-10-29 10:51:13.027715,9,10:51,Romantic
user_32,track_57,2024-05-24 10:51:13.027715,1,10:51,Melancholic
user_44,track_45,2024-12-10 10:51:13.027715,9,10:51,Dark
user_18,track_33,2024-11-26 10:51:13.027715,1,10:51,Dark
user_6,track_17,2024-10-07 10:51:13.027715,10,10:51,Romantic
user_18,track_70,2024-05-22 10:51:13.027715,10,10:51,Calm
user_19,track_4,2023-12-25 10:51:13.027715,2,10:51,Calm
user_22,track_20,2024-07-23 10:51:13.027715,6,10:51,Melancholic
user_37,track_47,2024-12-10 10:51:13.027715,6,10:51,Energetic
user_32,track_91,2024-06-20 10:51:13.027715,1,10:51,Romantic
user_41,track_15,2024-02-16 10:51:13.027715,7,10:51,Dark
user_3,track_70,2024-12-17 10:51:13.027715,8,10:51,Romantic
user_28,track_47,2024-12-21 10:51:13.027715,2,10:51,Melancholic
user_10,track_78,2024-09-04 10:51:13.027715,8,10:51,Happy
user_35,track_75,2024-04-30 10:51:13.027715,9,10:51,Happy
